Country Name,Country Code,"2014 Health expenditure, total (% of GDP)","2014 Life expectancy at birth, total (years)","2014 Population, total"
Aruba,ABW,,75.45678049,103795
Afghanistan,AFG,8.18227382,62.90268293,32758020
Angola,AGO,3.30698293,60.80673171,26920466
Albania,ALB,5.88310543,77.99839024,2889104
Andorra,AND,8.12713561,,79223
Arab World,ARB,4.874426767,70.82758949,390043028
United Arab Emirates,ARE,3.64398564,77.32936585,9070867
Argentina,ARG,4.78591616,76.134,42981515
Armenia,ARM,4.48014942,74.01958537,2906220
American Samoa,ASM,,,55437
Antigua and Barbuda,ATG,5.54168311,75.92409756,98875
Australia,AUS,9.42230024,82.3,23460694
Austria,AUT,11.20547328,81.4902439,8541575
Azerbaijan,AZE,6.0368632,71.7247561,9535079
Burundi,BDI,7.53556539,56.66331707,9891790
Belgium,BEL,10.5947509,81.28780488,11209057
Benin,BEN,4.59429651,60.31812195,10286712
Burkina Faso,BFA,4.96026323,59.37529268,17585977
Bangladesh,BGD,2.81899856,71.87165854,159405279
Bulgaria,BGR,8.44291326,74.46585366,7223938
Bahrain,BHR,4.98079638,76.72546341,1336397
The Bahamas,BHS,7.74236489,75.21763415,382169
Bosnia and Herzegovina,BIH,9.57201597,76.46356098,3566002
Belarus,BLR,5.68772158,72.97073171,9474511
Belize,BLZ,5.78895004,70.1475122,351694
Bermuda,BMU,,80.79731707,65139
Bolivia,BOL,6.33482729,68.35031707,10562159
Brazil,BRA,8.32283359,74.9582439,204213133
Barbados,BRB,7.469303,75.48390244,283385
Brunei Darussalam,BRN,2.64816289,76.94173171,411704
Bhutan,BTN,3.57301481,69.41797561,776448
Botswana,BWA,5.41200262,64.69439024,2168573
Central African Republic,CAF,4.20022213,50.59104878,4515392
Canada,CAN,10.449582,81.95304878,35544564
Central Europe and the Baltics,CEB,6.844175779,76.68547642,103496179
Switzerland,CHE,11.65926872,83.19756098,8188649
Channel Islands,CHI,,80.735,162969
Chile,CHL,7.78585767,78.9644878,17613798
China,CHN,5.54822768,75.95719512,1364270000
Cote d'Ivoire,CIV,5.71627357,52.54707317,22531350
Cameroon,CMR,4.10367158,57.08780488,22239904
"Congo, Dem. Rep.",COD,4.32823361,58.74860976,73722860
"Congo, Rep.",COG,5.15141136,63.51531707,4871101
Colombia,COL,7.20129855,73.97895122,47791911
Comoros,COM,6.74764314,63.20214634,759385
Cabo Verde,CPV,4.75969597,72.25431707,526437
Costa Rica,CRI,9.31311229,79.41685366,4757575
Caribbean small states,CSS,6.114070674,72.91101405,7162679
Cuba,CUB,11.05880043,79.38970732,11439767
Curacao,CUW,,77.82439024,155909
Cayman Islands,CYM,,,59172
Cyprus,CYP,7.36761162,80.12204878,1152309
Czech Republic,CZE,7.41091154,78.82439024,10525347
Germany,DEU,11.29700067,81.0902439,80982500
Djibouti,DJI,10.56825612,61.99431707,912164
Dominica,DMA,5.48583257,,72778
Denmark,DNK,10.80495696,80.7,5643475
Dominican Republic,DOM,4.37577756,73.51619512,10405844
Algeria,DZA,7.20717804,75.63502439,39113313
East Asia & Pacific (excluding high income),EAP,5.256967833,74.18315026,2022021082
Early-demographic dividend,EAR,5.283748459,69.25956118,3083836360
East Asia & Pacific,EAS,6.887218179,75.10255302,2265898057
Europe & Central Asia (excluding high income),ECA,6.420824961,72.29512938,412510951
Europe & Central Asia,ECS,9.501980993,77.20707533,903094668
Ecuador,ECU,9.16108824,75.85973171,15903112
Egypt,EGY,5.64211505,71.10956098,91812566
Euro area,EMU,10.44466255,81.9348744,338429646
Eritrea,ERI,3.33829318,64.16339024,
Spain,ESP,9.02988651,83.22926829,46480882
Estonia,EST,6.37929421,77.03414634,1314545
Ethiopia,ETH,4.88431325,64.50690244,97366774
European Union,EUU,10.03950262,80.92222407,508157247
Fragile and conflict affected situations,FCS,5.716773569,61.71015899,482474449
Finland,FIN,9.67990894,81.1804878,5461512
Fiji,FJI,4.48749874,70.07112195,885806
France,FRA,11.53951975,82.67073171,66331957
Faroe Islands,FRO,,81.48536585,48842
Micronesia,FSM,13.70691454,68.93490244,104015
Gabon,GAB,3.43747162,65.20302439,1875713
United Kingdom,GBR,9.11547172,81.30487805,64613160
Georgia,GEO,7.4166592,72.82063415,3727000
Ghana,GHA,3.55729189,62.11378049,26962563
Gibraltar,GIB,,,34038
Guinea,GIN,5.64479793,58.82490244,11805509
The Gambia,GMB,7.34040076,60.71385366,1917852
Guinea-Bissau,GNB,5.59313736,56.54821951,1725744
Equatorial Guinea,GNQ,3.80407904,57.25553659,1129424
Greece,GRC,8.08426702,81.43658537,10892413
Grenada,GRD,6.09761403,73.35334146,106360
Greenland,GRL,,,56295
Guatemala,GTM,6.20230127,72.76202439,15923559
Guam,GUM,,79.17373171,160967
Guyana,GUY,5.2478035,66.42614634,763393
High income,HIC,12.26274085,80.61483831,1175966521
"Hong Kong SAR, China",HKG,,83.9804878,7241700
Honduras,HND,8.72268046,73.12990244,8809216
